x,y
""" see positive rally DATE largely rise confidence have stable government post election . fear economic slowdown develop world increase prospect foreign money NORP market , "" say PERSON PERSON , coo ORG . "" foreign inflow DATE shift stance monetary policy outlook central bank globally . expectation positive outcome - china trade agreement bolster risk - sentiment foreign investor , "" say PERSON PERSON , senior research analyst , manager research ORG .",3
"DATE DATE DATE DATE DATE actor add apart PERSON , like work wife PERSON PERSON , meet set series , premiere DATE",2
"certainly time bolly - hop group ORG mark world dance early , defeat rival achieve slot GPE � s WORK_OF_ART WORK_OF_ART win bronze medal DATE � s EVENT EVENT EVENT EVENT EVENT EVENT",2
"� s general support ORG ORG ORG ORG extension , member include GPE voice support closed door , PERSON remain opposed , accord delegate , ask name talk private . difference � t resolve DATE DATE , set high - stake meeting GPE DATE DATE DATE oil trader little time adjust major shift supply . ' need close tie NORP GPE diminish , ' say PERSON PERSON , founder commodity hedge fund ORG ORG . ' delay ORG meeting point GPE reticence commit cut leave decision late possible commit . ' ORG end DATE rivalry forge alliance GPE DATE DATE , cordial relationship PERSON PERSON PERSON PERSON define feature . man usher unprecedented period cooperation - shape global oil market create beginning new geopolitical partnership � s extend cooperation GPE mutual investment .",3
"seek accuser testify , prosecutor PERSON � s case appear echo strategy GPE - area prosecutor DATE DATE convict PERSON PERSON sexual assault retrial hearing pertain witness comedian � s case , , open medium public expect onslaught accuser take stand , PERSON send letter DATE lawyer , ask email say woman acknowledge consensual relationship PERSON ORG identify people victim sexual assault come forward publicly",2
CARDINAL release DATE DATE DATE # daviddhawan # saraalikhan @vashubhagnani @poojafilms # 1yearforcoolieno1 # labourday,2
"recent interview , ORG ceo PERSON PERSON happen mention ORG work way restrict mental physical threat user trigger digital conversation platform . micro - blogging site work feature trace origin long tweet - thread .",1
"interestingly , DATE , shoot PERSON PERSON , play pivotal role PERSON � s debut film dr PERSON PERSON PERSON take twitter write , � surreal day complete # WORK_OF_ART , shoot # WORK_OF_ART PERSON PERSON PERSON play father",2
""" happen elect ORG ORG later , contest seat get vacate mp . face problem , "" say . ORG chief say want damage ORG - bsp - rld alliance GPE GPE .",0
"PRODUCT offer PRODUCT PRODUCT LANGUAGE , support CARDINAL regional language . user unlimited storage google photos high quality resolution . ORG say segment . PRODUCT back QUANTITY QUANTITY , claim provide standby time DATE DATE . pack 8mp rear - face camera f/2.0 aperture led flash . smartphone 5mp selfie camera f/2.2 aperture support hdr beauty filter .",1
"apart trio , new trilogy feature franchise veteran PERSON PERSON , PERSON PERSON PERSON PERSON",2
"action - pack role vs intensely romantic roleskatrina PERSON ask sort role like pick � ask kind work want point career , want role intense , complex , wounded , relatable , pained confused know certain affinity cool kind action role , edgy role , � WORK_OF_ART actor remark",2
"ORG launch ipo DATE DATE raise MONEY MONEY MONEY , share price range ? MONEY - MONEY apiece . ipo value company MONEY MONEY MONEY MONEY . TIME TIME , datum stock exchange show institutional portion ORG ipo subscribe CARDINAL time , portion reserve high networth individual retail investor subscribe CARDINAL CARDINAL time respectively . ORG ipo subscribe far DATE . DATE , hotel operator ORG ORG ORG initial share sale receive subscription interest CARDINAL time share offer , DATE embassy office parks real estate investment trust ( reit ) ipo see subscription CARDINAL time .",3
"nuanced word associate superhero movie , actor � s portrayal PERSON PERSON post � hulk - � moment moving juxtapose slight frame PERSON PERSON enormous PERSON , picture clear remember sequence PERSON pick PERSON PERSON fight army ? CARDINAL time screen look pretty WORK_OF_ART WORK_OF_ART",2
"like WORK_OF_ART , PERSON , � mass actor � , love family audience , big strength till date � s GPE actor birthday boy PERSON : PERSON PERSON admire ability switch work focus family interest � photography , cooking aeromodelling , excellent sense humour ability look funny situation � see know collaborate PERSON PERSON ( ya ) , want work , hope materialise soon",2
"film direct WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART s war helmer PERSON PERSON PERSON PERSON script PERSON PERSON , report ORG",2
"� come appear interview remain . CARDINAL . let way , "" PERSON tell ORG ORG ORG newspaper . reveal aggression . willing compromise quality asset , heartening sign . especially , lender see DATE DATE fy18 , end massive loss ? MONEY core DATE DATE DATE . direct fallout past mistake take risk . ORG ORG mend , consciously hack dodgy bb - rate loan bring share loan rate bbb . slippage decline , build reasonable insurance risk , provision coverage ratio PERCENT PERCENT . new leadership , lender clear project financing strict - new borrower need strong , pristine , credit quality . time , bank fire cylinder grab retail business growth working capital financing .",3
"separate release , bourse say decide revise methodology sectoral thematic index ORG ORG replace ORG ORG ORG nifty 50 index DATE DATE , ORG ORG ORG say DATE .",3
"say state like GPE , GPE , GPE GPE , GPE GPE , GPE , GPE , GPE GPE ( partial ) GPE ( partial ) , percentage young voter ( age 18 - 25 ) average national average , PERCENT cent increase voter turnout . state like GPE , GPE GPE , elderly population high national average , witness increase voter turnout average PERCENT cent . improvement woman voter turnout attribute measure like EVENT EVENT EVENT , mudra , ujjwala scheme lead woman empowerment , add .",0
PERSON PERSON consider instinctive performer look forward good face failure,2
announcement come amid grow concern ORG � s effort curb misinformation manipulation . ORG face renew criticism follow ORG ORG ORG investigation suggest ignore warning NORP influence campaign platform consult firm discredit critic social network . instagramfacebookfake usersinstagram fake accountsfacebook fake usersinstagram fake likesinstagram fake comment,1
"ORG encrypt communication make hard authority monitor illegal activity , lot unencrypted content allow researcher foundation detect csam . ( ORG ) DATE , ORG ban CARDINAL CARDINAL account month suspect share child sexual abuse material ( csam ) ORG turn available unencrypted information include user report detect prevent circulation csam",1
"televise address , prime minister DATE announce GPE successfully target live satellite low earth orbit register space power . mission , complete TIME , name ' mission shakti ' . follow , PERSON write letter chief election commissioner speech , question ORG ORG give prior warning .",0
"PRODUCT come 13mp+2mp dual rear camera . 8mp face camera single flash selfie . PRODUCT PRODUCT QUANTITY QUANTITY QUANTITY selfie camera . PRODUCT PRODUCT 12mp+5mp camera configuration . PRODUCT moto PRODUCT offer camera feature like cinemagraph , portrait mode , timelapse , slow motion video google lens build - .",1
"running - time TIME , WORK_OF_ART lean PERSON PERSON PERSON s early film run TIME , film worth searing scene brother drunk PERSON , loser brother , try bridge ocean open , find distance great PERSON , actor celebrate simply good industry mediocre talent , make use range playful boisterous husk sorrow , flicker boyish broken matter TIME",2
"shares ORG ORG rise PERCENT PERCENT ? MONEY ORG DATE promoter ORG company sell PERCENT PERCENT stake , raise MONEY MONEY MONEY MONEY . transaction execute stock exchange DATE purchaser include ORG ORG ORG , ORG ORG ORG , ORG ORG , family office ORG ORG chairman PERSON PERSON , . stake sale , promoter holding ORG come PERCENT PERCENT . � stake sale proceed reduce promoter debt creation asset like cement , solar power etc , "" ORG major say statement .",3
"PRODUCT PRODUCT feature new design slim profile , few bezel importantly , home button . power ORG � s PRODUCT PRODUCT chipset , basically find new PRODUCT , tweak . come display size shoe liquid retina display resolution 2732x2048 pixel density 265ppi ( QUANTITY QUANTITY QUANTITY model ) . come storage variant QUANTITY QUANTITY , QUANTITY QUANTITY , QUANTITY QUANTITY 1tb � ORG hasn � t reveal individual pricing storage variant GPE .",1
"PERSON join long list loose talk politician insensitive remark grave incursion take focus away pressing argument need immediate attention . PERSON unthoughtful statement help GPE play gallery victim insinuate parliamentary election reason GPE � s action sideline allegation GPE neighbour big breeding ground terrorist . ORG duck medium question comment , ORG carry frontal assault PERSON , turn DATE DATE .",0
"ORG iphone xs battery caseapple iphone xs max battery caseapple iphone xr battery caseappleapple accessoriesapple iphone xrapple iphone xsapple iphone xs maxapple case ORG ORG DATE release - chargeable battery case iphone xs , xs max , PRODUCT add TIME battery life smartphone .",1
"ask report silent content speech , senior functionary explain state / government medium , issue content arise . functionary say : "" seek vote . describe missile launch achievement government . hail scientist . electioneering involve . "" view ORG speech violate model code letter , "" spirit code "" . GPE shoot satellite space DATE anti - satellite missile demonstrate complex capability , prime minister PERSON PERSON announce , make GPE ORDINAL country weapon .",0
"� ORG president PERSON PERSON ( know PERSON GPE ) , PERSON PERSON , PERSON PERSON one exploit tribal , "" PERSON allege election rally GPE GPE district , news agency ORG report . DATE , ORG president PERSON PERSON state describe opposition alliance party � voice people "" . say come speak alliance � s maan ki baat listen . speak GPE , GPE ORG ORG constituency voting place DATE DATE ongoing election campaign test ORG � s strategy state appoint non - tribal leader chief minister . large tribal population state , chief minister GPE tribal leader , time , ORG opt non - tribal person , PERSON PERSON , chief ministerial candidate . � ORG come power GPE soon DATE general election ongoing ORG ORG poll time party face electoral test . state see stable government time leadership prime minister PERSON PERSON party win mandate , try retain dominance state , "" say senior ORG leader base GPE .",0
"forex trader ease crude oil price , sustain foreign fund inflow heavy buying domestic equity market restrict rupee � s fall GPE : rupee DATE decline MONEY MONEY close MONEY dollar forex trader turn cautious DATE DATE DATE DATE . ORG ORG ORG ( forex ) , domestic currency open MONEY dollar fall touch DATE low CARDINAL . finally settle MONEY dollar , MONEY MONEY previous close .",3
"problem buy soundbar good one expensive . PRODUCT PRODUCT won � t change . brainer option affordable . price ? MONEY , PRODUCT PRODUCT easily good choice DATE . look sleek , punch weight term audio quality cheap dedicate budget buy good television . audio signature soundbar v - shaped , mean deliver strong bass high mid frequency . soundbar , emphasis voice , dialogue sound crisp clear . � s perfectly balanced audio , likely mind � listen particular genre music , like classical music .",1
"ORG � s new premium smartphone PRODUCT PRODUCT PRODUCT available purchase ORG prime user GPE . DATE , ORG unveil premium smartphone � mate 20 pro � GPE ? MONEY . regular customer ORG PRODUCT PRODUCT PRODUCT available TIME TIME TIME TIME 2018 . ORG PRODUCT PRODUCT PRODUCT equip 40mp main camera , 20mp ultra wide angle camera , 8mp telephoto camera . QUANTITY QUANTITY QUANTITY curved display QUANTITY QUANTITY battery . ORG kick start offline presence ORG PRODUCT PRODUCT PRODUCT . PRODUCT PRODUCT PRODUCT available ORG store key metro city start DATE DATE DATE DATE .",1
""" functionality support user search job term like ' work home ' ' wfh ' return relevant job label differently ' remote ' ' telecommute ' , "" PERSON PERSON , cloud product manager , ORG , write blog post TIME DATE .",1
"cost : have screen drive cost device evident case PRODUCT PRODUCT . start $ MONEY premium smartphone launch DATE DATE . display major component smartphone account PERCENT PERCENT PERCENT PERCENT bill material cost . high display price affect overall cost smartphone , say ORG . external protection : phone PRODUCT PRODUCT PRODUCT , foldable display open outward , damage screen matter fall . presence screen prevent user add case cover protection .",1
"output : GPE crude steel output grow PERCENT PERCENT DATE compare DATE DATE DATE mill ramp operation amid profit margin recovery stringent curb production country anti - smog crackdown . datum : GPE aluminium production fall PERCENT PERCENT DATE basis DATE DATE DATE low rate DATE , pressure DATE curb industry low price . push GPE aluminium MONEY MONEY 13,995 ( $ MONEY ) tonne , high DATE DATE DATE level DATE . dollar : currency ease basket major currency . weak greenback make dollar - denominate commodity cheap ORG ORG firm , relationship fund generate buy sell signal .",3
"GPE GPE : report say ORG ORG ORG ORG negotiate "" MONEY MONEY "" fine social network privacy lapse . ORG ORG say DATE fine large impose tech company . cite unnamed source , say side agree exact .",1
"GPE blue chip quickly extend early loss PERCENT PERCENT , sharp DATE fall DATE , dollar climb yuan . GPE nikkei drop PERCENT PERCENT GPE PERCENT PERCENT . ORG broad index LOC LOC LOC share outside GPE skid PERCENT PERCENT DATE DATE trough . e - mini future s&p 500 ease PERCENT PERCENT spreadbetter point opening fall NORP bourse . mood brittle ORG ORG ORG slash growth forecast surprise new round policy stimulus , leave investor fear bad global economy . ORG president PERSON PERSON say economy "" period continued weakness pervasive uncertainty "" push plan rate hike instead offer bank new round cheap loan . reversal come DATE GPE central bank take sudden dovish turn dismal datum GPE GPE instill sense foreboding market .",3
"video share PERSON , ORG minister , twitter page , PERSON say "" PERSON man GPE GPE "" , PERSON eulogise ORG ORG chief "" truly represent GPE connection "" . PERSON say "" humble "" support PERSON , PERSON small businessman trader . "" PERSON man south GPE ... having represent GPE GPE DATE DATE , believe PERSON depth knowledge social , economic cultural eco - system south GPE constituency , "" say PERSON video .",0
"CARDINAL CARDINAL : � s number invisible ir infrared dot PRODUCT PRODUCT PRODUCT s faceid system project create model face unlock iphone , securely access app perform function . simply look iphone . faceid system rest . revolutionary method biometric authentication standout feature headline ORG unveil PRODUCT PRODUCT DATE . system design prevent spoofing photo mask . facial - recognition technology fast approach level . find useful avenue security law enforcement , near future technology enable authorize financial transaction breeze airport . � s . soon , won � t need boarding pass flight . � ll look camera , walk security check . ministry civil aviation recently announce policy biometric - base digital processing passenger airport � digi yatra � provide seamless experience , right enter airport board aircraft . digi yatra centralize registration system passenger , able generate digi yatra id share information , e - mail id , mobile number detail approve identity proof . passenger able use digi yatra id book ticket . airline share passenger datum digi yatra id airport .",1
"ORG say convince GPE mp PERSON PERSON nomination independent decision threaten add rise tension ORG ORG ORG ORG ORG ORG GPE : ORG party DATE say convince PERSON , sit member parliament , nomination GPE ( GPE ) parliamentary seat decide contest independent decision party � s coalition agreement .",0
"lineup festival , run DATE DATE DATE , announce GPE DATE",2
"rupee weaken dollar DATE GPE trade deficit widen DATE DATE DATE high oil price . TIME , rupee trade MONEY dollar , PERCENT PERCENT previous close CARDINAL . home currency open MONEY dollar .",3
"- - - line variant , PRODUCT PRODUCT PRODUCT , start ? MONEY PRODUCT PRODUCT start ? MONEY . affordable , PRODUCT PRODUCT start ? MONEY . iphone xs iphone xs max available GPE DATE DATE . PRODUCT PRODUCT hand sale DATE DATE pre - order start DATE DATE . new iphones available ORG � s website ORG ORG online site authorise offline ORG retailer like ORG .",1
"share music streaming service rally PERCENT PERCENT far DATE , compare PERCENT PERCENT gain s&p 500 . ( ORG ) ORG ORG ORG take CARDINAL CARDINAL customer DATE , compare CARDINAL CARDINAL forecast analyst",1
"ORG original show expect offer alongside option subscribe content ORG ORG ORG ORG ORG ORG ORG , . ( ORG ) ORG goal bring television show place easy find , buy watch cupertino : ORG ORG expect lift curtain DATE secretive , DATE - long effort build television movie offering design compete big medium company boost digital service revenue sale PRODUCT taper . CARDINAL reporter analyst wait early DATE enter glass - enclose ORG ORG ORG ORG GPE , GPE headquarter overcast weather green - clothe ORG employee stand watch . highlight service run CARDINAL CARDINAL consumer device , device , ORG strategy change momentous shift emphasis chief executive PERSON PERSON , succeed late PERSON PERSON DATE .",1
"� lord , � PERSON PERSON , spin flip PERSON family bubble ORG !",2
"hacker access , email address phone number account , accord ORG . CARDINAL CARDINAL , hacker get datum , hometown , birthdate , CARDINAL place check CARDINAL recent search . CARDINAL account affect , hacker didn � t information . ORG isn � t give breakdown user , say breach � fairly broad . "" plan send message people account hack .",1
"ORG PRODUCT PRODUCT PRODUCT smart band range precise professional monitoring capability , include improve heart rate sleep monitoring . feature QUANTITY QUANTITY QUANTITY hd amoled colour touch screen . user navigate option screen swipe vertically horizontally , tap screen return home . come truseen 3.0 PRODUCT PRODUCT technology find PRODUCT PRODUCT wristband form factor .",1
"commodity investment firm ORG ORG ORG ( ORG ) say oil production non - opec producer like GPE , GPE LOC LOC struggle , tighten market . "" LOC LOC , GPE GPE disappoint expect continue go forward , "" ORG say note publish DATE . trade datum ORG show combine crude oil shipment LOC LOC , GPE GPE QUANTITY QUANTITY QUANTITY DATE , QUANTITY QUANTITY QUANTITY DATE . standing decline soar GPE crude production , rise QUANTITY QUANTITY QUANTITY DATE , QUANTITY QUANTITY QUANTITY , make GPE world big oil producer .",3
"random matching chit number vote machine verify tampering . vehicle transport voting machine fit gps device monitor movement . outgoing parliament CARDINAL lawmaker face criminal charge investigate -- CARDINAL involve case murder rape . time , candidate legal cloud issue newspaper tv advertisement detail charge face constituency stand . ORG ORG ORG ( ORG ) charity report DATE candidate face criminal charge high chance win election compare -- intimidate voter buy influence . candidate declare income tax return DATE DATE -- information public vote -- submit detail asset liability abroad . webcam broadcast live internet monitor CARDINAL polling station counting hall , allow voter close eye proceeding real time .",0
"president PERSON PERSON DATE say delay increase tariff NORP good thank "" productive "" trade talk NORP president PERSON PERSON meet seal deal progress continue . "" risk sentiment equity market pretty positive backdrop - china trade talk news support NORP government , negative gold , "" say ORG ORG analyst PERSON PERSON . "" time , dollar tad low , provide bit support gold price . "" PERSON add expectation ease trade tension GPE positive physical demand major consumer GPE .",3
"man � s fall murder , go revenge - fuel rampage find killer cop pursue chief suspect",2
"� ORG ruling underscore long know : company consider child � s personal information bound , "" senator PERSON PERSON , helped author LAW , say statement . � fine historic high LAW violation , high harm child deter violation law future company . "" settlement require app � s operator offline video child DATE DATE , ORG say . ORG ORG face coppa - relate complaint consumer group . group claim social medium giant know game offer popular child DATE play potentially DATE DATE DATE DATE . ORG DATE DATE say wasn � t contact ORG issue .",1
"go trailer , m muthaiah directorial WORK_OF_ART promise lot action mass dialogue",2
"ORG DATE say get lot fast well curb abusive behaviour hateful content . ( ORG ) ORG DATE say make platform free abuse , spam thing distract public conversation priority . GPE GPE : effort platform appear toxic , ORG plan people option hide reply tweet , give user control nature conversation like platform . "" start DATE , experiment way people control conversation give option hide reply tweet , "" PERSON PERSON , vice president , ORG ORG PERSON PERSON , ORG senior director , product management , health , write blog post DATE .",1
", film attract huge crowd ultimately WORK_OF_ART end shatter previously hold domestic record predecessor WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART domestically , WORK_OF_ART WORK_OF_ART WORK_OF_ART outperform WORK_OF_ART WORK_OF_ART globally",2
film adaptation dear kuttichathan director PERSON PERSON � s story WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART,2
"ORG ORG ORG report DATE DATE ORG app support end - - end encryption company provide timeline happen . accord NORP watchdog , "" previous proposal share datum ORG company give rise significant datum protection concern NORP ORG seek early assurance concern fully take account ORG develop proposal "" . "" emphasise ultimately propose integration occur ORG capable meet requirement LAW , "" statement read .",1
"order run CARDINAL page , regulator find lapse use - call dark fibre certain trading member violation ORG � s policy norm . dark fibre refer dedicate communication line message travel fast regular line absence traffic . , illegal fast connectivity infrastructure . ORG hold ORG take inconsistent position conduct break rule right time non - registered member , ORG , grant permission DATE DATE lay dark fibre cable brokerage firm , ORG ORG ORG . ORG ask ORG deposit additional sum MONEY MONEY MONEY , profit earn co - location service DATE DATE DATE PERCENT PERCENT interest ORG . PERSON PERSON , chief business development ORG , bar hold position mii associate list company period DATE lapse ORG � s dark fibre policy .",3
"CARDINAL company actively participate final stage review draft specification , usb4 specification track publish DATE DATE . - lane operation exist usb type - c cable QUANTITY QUANTITY operation QUANTITY QUANTITY - certify cable possible ORG ORG ORG DATE announce pende release usb4 specification , major update deliver generation usb architecture compliment build exist usb 3.2 usb 2.0 architecture . usb4 architecture base thunderbolt protocol specification recently contribute ORG ORG . double bandwidth usb enable multiple simultaneous data display protocol . new usb4 architecture define method share single high - speed link multiple end device type dynamically well serve transfer datum type application .",1
representative singer - songwriter tell ORG magazine stable condition � awake responsive �,2
""" ORG intentione enable feature , great news confirm interest android platform , "" report add . "" welcome testing program . tester . receive update whatsapp messenger app . leave testing programme time , "" company note willing tester playstore read .",1
"overall GPE wearable market see PERCENT PERCENT year - - DATE ( yoy ) growth DATE DATE vendor ship total CARDINAL unit country , report say . , overall shipment decline PERCENT PERCENT DATE DATE largely double - digit decline basic wearable . � early GPE wearable market start move smart wearable . , vendor start analyze big pricing gap basic smart wearable , "" say PERSON PERSON , associate research manager , ORG ORG , ORG ORG . mint - india - wire xiaomixiaomi bandxiaomi smartwatchxiaomi mi band 3xiaomi wearablesgoqii band smartwatch wearablesfastrack reflex 2.0gear sportgalaxy watchsamsung note CARDINAL",1
"unmanned delivery vehicle , PRODUCT , see ORG DATE shareholder meeting GPE , GPE , GPE , DATE DATE DATE DATE . picture take DATE DATE DATE DATE . courtesy ORG / handout ORG / file ORG co - found DATE engineer ORG self - drive car project , PERSON PERSON PERSON PERSON funding ORG come MONEY MONEY MONEY MONEY ORG ORG , usually pick big stake fast - grow technology company",1
"WORK_OF_ART WORK_OF_ART producer PERSON PERSON rule gender swap character suave NORP spy , say play male",2
"rest photo suggest smartphone glass , common ORG smartphone . , ai - power dual rear camera setup present left corner instead have flash sandwich camera , present configuration . like ORG smartphone , fingerprint scanner present centrally phone .",1
currently - untitled movie centre unavoidable jeopardy life different story set quintessential NORP metro,2
"ORG hotel associate ORG group brand ( lead global hospitality group ) like ORG ORG , ORG , ORG , ORG ORG ORG , ORG ORG ORG .",3
"DATE DATE DATE DATE DATE DATE PERSON PERSON , run kirana store GPE � s startup hub GPE husband PERSON , want point sale ( pos ) machine store hate deal connectivity issue tally receipt TIME DATE . � s wait list ORG � s pos machine , hand pilot basis . ORG � s new QUANTITY QUANTITY QUANTITY touch screen device inbuilt barcode reader automatically record DATE transaction . PERSON convince � d long DATE statement notebook track inventory physically . � pay - time fee ? MONEY device . free ORG merchant membership , "" say PERSON . ORG run limit pos device pilot GPE , GPE , GPE GPE , partner ORG ORG ORG supply product kirana stores.(read ... )",0
"� � ve reform LAW ... infra require village gram panchayat , road toilet come � ' internal security everybody � s concern . promote national integrity , social cohesion , unity nation mean making national mind ' GPE GPE : follow release ORG ORG ORG ORG s manifesto general election DATE , party � s vice - president PERSON PERSON , interview ORG , say manifesto promise end rural - urban divide ensure urban amenity reach rural population offer livelihood opportunity . edit excerpt .",0
"achieve thin light design new form factor , PRODUCT PRODUCT incorporate small motherboard power late quad - core DATE DATE ORG PRODUCT processor , ORG spectre x360 include long - last battery life GPE GPE : ORG ORG DATE unveil GPE premium laptop range ORG PRODUCT PRODUCT ORG PRODUCT PRODUCT device .",1
"theatre see film TIME � lacking , detail track noteworthy , nuanced enthralling avengers : endgame release worldwide DATE DATE mint MONEY MONEY MONEY global box office",2
"accord leak NORP social platform ORG , PRODUCT PRODUCT PRODUCT PRODUCT power ORG � s new mid - range processor , PRODUCT PRODUCT , instead snapdragon 660 present PRODUCT PRODUCT PRODUCT . new chipset base QUANTITY QUANTITY process support ORG quickcharge 4 + technology . snapdragon 675 chipset capture QUANTITY QUANTITY video 30fps motion compensated temporal filtering , algorithmic technique predict frame video account motion camera and/or object video . camera module slight change . rear primary sensor expect boast 48mp resolution , time ORG PRODUCT sensor instead ORG PRODUCT PRODUCT sensor present PRODUCT PRODUCT . ORG claim sensor superior low - light performance image detail intact .",1
"� type lighthearted adventurous material audience respond DATE , � happy make film space know WORK_OF_ART touch soft spot audience feel - good entertainment , � PERSON say statement",2
"hug tear punctuate final taping WORK_OF_ART WORK_OF_ART WORK_OF_ART , lovefest star , crew audience alike plenty punchline , true - - form hit comedy scientist love wrap - , TIME - long finale air DATE DATE ORG � touch heart , � emotional PERSON PERSON tell fan fill ORG ORG share comment series creator PERSON PERSON reading final script : � WORK_OF_ART WORK_OF_ART WORK_OF_ART live heart forever",2
"ORG ORG "" continue promise trend low new npl formation , balance sheet growth high granularity asset liability , "" ORG analyst write note . credit suisse analyst say asset quality trend reinforce view credit cycle turning . story publish wire agency feed modification text . headline change .",3
"swipeable stories feature offer well navigation ORG post appear completely visible . "" story "" feature CARDINAL CARDINAL DATE user ORG messenger , CARDINAL CARDINAL instagram stories CARDINAL CARDINAL whatsapp "" status "" feature .",1
"movie help people feel well , provide contra hectic stressful life show true underlie spirit confront / fear researcher say movie beneficial person suffer aftermath trauma stage research author examine benefit ORG movie viewing vis - - vis post - traumatic stress disorder",2
isaacs say ask question man indulge sexual transgression know,2
"audio quality PRODUCT noticeably well budget alternative ORG etc , lack clarity audio wireless earbud like ORG PRODUCT , ORG wf-1000xm3 . lack depth audio , ORG sp-700n ( cost CARDINAL ) well . furthermore , face connectivity issue device . , PRODUCT connect phone charge case . time left earbud wouldn � t play audio , disconnect reconnect earbud phone fix .",1
"trailer , director team writer whip gripping thriller capture mood country � s medical nightmare midst doctor discuss medical terminology treatment protocol , find plenty human drama basically stem public fear contract disease , cure",2
"base DATE sale estimate , ORG ORG project generate average DATE revenue MONEY MONEY MONEY . photo : ORG ORG undergo widespread persistent system outage , user globe unable access social network service instagram messenger DATE . TIME TIME york time , user encounter partially load page content , accompany message say error occur . brand marketer tweet ORG � s ad - buy system . TIME TIME , ORG say investigate overall impact , � include possibility refund advertiser . """,1
"ORG see integrate ' jai jawan ' , ' jai kisaan ' poll narrative general election , development agenda congress see focus job , farm distress PRODUCT deal corner PERSON govt run - EVENT EVENT GPE GPE : recent tour GPE GPE ( ) , prime minister PERSON PERSON probably inadvertently ( purposely ) give away possible election slogan � WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART "" , highlight decisive action terrorist GPE GPE attack , achievement government . slogan repeat number time chief minister PERSON PERSON event GPE GPE DATE DATE . election date announce ORG ORG , government advertising , far tagline "" WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART "" , cease . � PERSON namumkin - mumkin report card blitz DATE DATE get ministry recount achievement milestone . CARDINAL money spend entire effort , technically government india campaign ORG � s ( ORG ORG ORG ORG s ) . PERSON focus � choose important issue eventually swing vote , "" say PERSON PERSON , advertising medium veteran .",0
"DATE DATE DATE bond yield trade PERCENT PERCENT , DATE close PERCENT PERCENT . bond yield price opposite direction . far DATE , rupee gain PERCENT PERCENT dollar , foreign investor buy MONEY MONEY MONEY equity MONEY MONEY MONEY debt market .",3
"ORG ORG poll hold CARDINAL - phase CARDINAL seat counting vote DATE GPE GPE : polling hold DATE large phase ORG ORG election CARDINAL seat , include constituency GPE GPE , ORG president PERSON PERSON , ORG chief PERSON PERSON ORG minister prominent candidate fray . stake high rule ORG ally bag CARDINAL seat CARDINAL spread CARDINAL state GPE GPE DATE general election , ORG alliance partner win CARDINAL , rest go opposition party NORP . seat GPE ( CARDINAL ) GPE ( CARDINAL ) , voting hold seat GPE , GPE , CARDINAL GPE , CARDINAL GPE GPE , GPE , CARDINAL GPE GPE , GPE GPE , GPE , GPE GPE GPE , GPE GPE GPE . polling LOC LOC constituency , early schedule DATE DATE , hold phase , GPE ORG ORG seat GPE GPE , election hold phase . CARDINAL CARDINAL voter eligible voting phase ORG ORG set CARDINAL CARDINAL polling booth / station elaborate security arrangement .",0
""" instead , pragmatic approach removal happen ' soon possible , ' protect citizen ' right competitiveness , "" say ORG , NORP trade group new medium internet company . opponent say measure place big burden small internet company giant like ORG ORG , automate content filter . help small web company , bill modify TIME TIME TIME offence , measure opponent say far . PERSON PERSON , professor GPE ORG ORG ORG , urge regulator pursue new method artificial intelligence well job tackle problem . "" issue large fine hit company big legal threat take DATE DATE DATE bullwhip approach problem require nuanced solution , "" say . "" need machine learning tool manage DATE DATE DATE problem internet , "" PERSON say GPE propose social - media regulator expect freedom speech account try prevent harm . "" talk user - generate content , people online , company facilitate access kind material , "" say . "" journalism . unregulated space need control well people safe . """,1
"PERSON PERSON reveal offer play mother PERSON PERSON PERSON s PERSON PERSON ORG superhero origin story , pitch describe � slap face �",2
story publish wire agency feed modification text . headline change .,0
"hold CARDINAL public meeting state , include GPE , seek ' expose ' lie PERSON government DATE , PERSON PERSON - lead ORG ORG ORG ( ORG ) propose PERSON PERSON PERSON s ORG ORG ORG ( ORG ) formally include opposition alliance ORG ORG ORG ( bjp)-shiv sena combine . proposal gain support ORG ORG ORG renew alliance DATE . ORG reject idea , worry anti - migrant politic ORG liability GPE constituency , sizeable NORP NORP population . ORG � s ORDINAL foundation day rally DATE DATE , PERSON announce party contest DATE ORG ORG poll , work make GPE � PERSON PERSON PERSON PERSON PERSON "" . PERSON , arguably good political orator GPE DATE , true word . hold CARDINAL public meeting state , include GPE , seek � expose "" lie PERSON government . term visual impact , medium coverage election narrative GPE , PERSON � s unconventional initiative roaring success . fact , favourite line � laav toh video "" ( play video ) rage . ORG , , try hit old video PERSON lavishly heap praise PERSON .",0
"PERSON extremely excited reprise role PERSON installment , PERSON interview ORG",2
reason voter list hold voter d card election commission effort away duplicate card strike name list,0
